date,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2021-02,0.012429092,0.047479954,0.00015158032,0.00015157895,0.5354445,0.00015155994,0.403737,0.00015156288,0.00015156866,0.00015157409
2021-03,0.20601822,0.070857376,0.16220006,0.04430099,0.21252498,0.058797058,0.06294136,0.08380956,0.035689786,0.0628606
2021-04,0.18458237,0.036826156,0.0734352,0.091382354,0.19384867,0.10574204,0.10593878,0.1125144,0.04318245,0.052547645
2021-05,0.18265255,0.15925562,0.10571314,0.057051476,0.1719002,0.08513795,0.06473383,0.13284808,0.0063962983,0.034310795
2021-06,0.10015912,0.12064627,0.123951085,0.10932043,0.1100788,0.06276025,0.17422166,0.13751452,0.022528648,0.03881922
2021-07,0.15941024,0.07445524,0.12655626,0.05426368,0.23900867,0.09335722,0.1011721,0.092241615,0.0077834697,0.05175151
2021-08,0.1376163,0.11765516,0.061332926,0.0888413,0.15870836,0.09942423,0.168485,0.09118125,0.01710644,0.05964895
2021-09,0.17112602,0.09955982,0.0969114,0.10797313,0.15939988,0.068258695,0.12367867,0.090420425,0.009258133,0.07341379
2021-10,0.14231287,0.13586953,0.16912283,0.090563156,0.11708569,0.05127647,0.13611858,0.09578438,0.010855613,0.051010817
2021-11,0.12916502,0.16681604,0.19252142,0.09038205,0.07332806,0.046775687,0.14222999,0.094964154,0.01934595,0.044471607
2021-12,0.120323226,0.14530252,0.14869025,0.15875788,0.076122485,0.052527513,0.09535669,0.1370288,0.034607865,0.03128273
2021-13,0.119993165,0.09547134,0.073343374,0.09175584,0.19517879,0.052654587,0.13334668,0.137585,0.01189686,0.088774405
2021-14,0.079352215,0.13554236,0.18197015,0.1258192,0.13782658,0.073145404,0.11157075,0.102558136,0.006175821,0.046039432
2021-15,0.14955662,0.17618044,0.08585886,0.081555665,0.11232795,0.09476935,0.100517675,0.11103085,0.009183313,0.07901932
2021-16,0.15031023,0.15161231,0.15285164,0.07538655,0.12714437,0.036870502,0.07249715,0.077516384,0.07213703,0.08367372
2021-17,0.08227917,0.19120018,0.09591625,0.08069465,0.18301907,0.050370846,0.12031579,0.08969405,0.008903369,0.097606614
2021-18,0.108234,0.03539208,0.15148821,0.095261924,0.2429704,0.053250436,0.14055832,0.083589554,0.0028456142,0.08640942
2021-19,0.1005674,0.12640189,0.07279647,0.0707263,0.20544067,0.1259169,0.10360868,0.11443372,0.013449521,0.06665851
2021-20,0.16460091,0.09323751,0.11237311,0.07686458,0.12531263,0.1413756,0.085341476,0.10493691,0.027270598,0.06868669
2021-21,0.14295639,0.13894486,0.18697323,0.09765561,0.081221424,0.09466954,0.05766218,0.10411252,0.028715756,0.06708845
2021-22,0.21803328,0.08889096,0.14546251,0.053428907,0.15484971,0.052262906,0.11406026,0.11436573,0.0037281653,0.054917566
2021-23,0.24466461,0.103221335,0.13180839,0.0574743,0.11520611,0.09004504,0.05650067,0.103233784,0.025021235,0.07282466
2021-24,0.19953786,0.11704616,0.16590743,0.11831513,0.06193413,0.116444,0.06577949,0.08840755,0.046541214,0.020086989
2021-25,0.09661827,0.15676685,0.17111689,0.1023438,0.15648088,0.042480428,0.062053557,0.12549701,0.014226102,0.07241619
2021-26,0.12411621,0.10736411,0.13905226,0.16086452,0.129657,0.05443963,0.063775904,0.117020816,0.018358516,0.085351035
2021-27,0.09616677,0.11765695,0.10578846,0.11230648,0.15025434,0.13973673,0.069161706,0.13103338,0.008517471,0.06937778
2021-28,0.17361967,0.14409655,0.18033004,0.07915274,0.10005527,0.061633825,0.070607714,0.1031084,0.02015487,0.06724094
