year_month,ec_topic_0,ec_topic_1,ec_topic_2,ec_topic_3,ec_topic_4,ec_topic_5,ec_topic_6,ec_topic_7,ec_topic_8,ec_topic_9,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2021-01,0.03462516,0.012938357,0.103544265,0.07160685,0.008968623,0.060420185,0.22575314,0.010428604,0.47096923,0.0007456087,0.18473762,0.07147454,0.11184843,0.063621946,0.2037187,0.085826404,0.08645224,0.09886829,0.036854617,0.056597248
2021-02,0.04118983,0.00036640815,0.11134025,0.06715758,0.0028166685,0.031847544,0.22807603,0.0049662134,0.5000478,0.012191696,0.14771897,0.10946418,0.10553991,0.07815847,0.1728333,0.08621428,0.13059568,0.10916034,0.013488084,0.046826776
2021-03,0.073837176,0.00496034,0.09192844,0.05962708,0.004308109,0.05368601,0.15551968,0.031114591,0.510657,0.014361591,0.13825616,0.13066263,0.13902578,0.10982067,0.12338288,0.052220073,0.12525591,0.10652229,0.0184727,0.056380946
2021-04,0.050840266,0.011836405,0.09022032,0.07857277,0.015704846,0.03710636,0.15842794,0.043990895,0.5070462,0.0062539303,0.12044102,0.16194811,0.12345709,0.08954216,0.1341956,0.06558188,0.102766335,0.09996625,0.024542946,0.077558525
2021-05,0.10828095,0.0014229579,0.092412524,0.07077499,0.0076014884,0.050695926,0.1793525,0.00542967,0.4761826,0.007846374,0.12715776,0.10404969,0.13711591,0.08611494,0.15756328,0.10491681,0.09182295,0.10224854,0.018736474,0.0702735
2021-06,0.04163863,0.008556899,0.0650083,0.074497215,0.018753778,0.019501751,0.09264802,0.026255023,0.6468579,0.006282617,0.18393305,0.1168862,0.14713638,0.08891231,0.1265249,0.07634435,0.06739552,0.10928707,0.024211017,0.059369106
2021-07,0.024945924,0.009266794,0.1003346,0.0626157,0.021350177,0.028707886,0.09854514,0.02235275,0.6231228,0.008758281,0.12597756,0.16585048,0.13375235,0.11218676,0.13231242,0.06966639,0.07236623,0.11422508,0.011722085,0.06194057
2021-08,0.005773391,0.0042321244,0.032754168,0.017052265,0.03983107,0.03491973,0.095110364,0.0069484515,0.7608629,0.0025155286,0.1128501,0.1441777,0.11178833,0.061911337,0.17003706,0.10452467,0.10687104,0.07658445,0.015058358,0.09619698
2021-09,0.058866628,0.0073513,0.050426174,0.06859989,0.043095145,0.024918772,0.06228741,0.021556346,0.66134596,0.0015523962,0.17249252,0.12738809,0.10991046,0.08330652,0.15650487,0.085484095,0.070874274,0.09533257,0.04439253,0.054313924
2021-10,0.0763517,0.0082037235,0.07717679,0.041524734,0.015719017,0.056705713,0.06689822,0.04570843,0.6025843,0.0091273235,0.18289155,0.12229216,0.12226812,0.10093621,0.1344773,0.0662362,0.061958816,0.10160171,0.03214623,0.07519156
2021-11,0.08751485,0.007533527,0.07328375,0.08522359,0.010374312,0.091240734,0.09125164,0.019776458,0.5241942,0.00960694,0.1400703,0.11969185,0.1299707,0.12010892,0.10119079,0.051754326,0.08701276,0.09594047,0.037145786,0.11711396
2021-12,0.08416477,0.011102838,0.06882788,0.05391049,0.019214377,0.055940107,0.16150296,0.011922249,0.52511317,0.008301224,0.110967234,0.120457225,0.12120879,0.096866965,0.15858223,0.08997188,0.10767552,0.10798176,0.013669807,0.072618544
2022-01,0.03103168,0.018890003,0.22695926,0.05465004,0.009343251,0.13578354,0.044581734,0.018808864,0.44753158,0.012420051,0.10179871,0.1505867,0.11095593,0.08646554,0.14691697,0.111208975,0.060621146,0.114093244,0.022939233,0.09441358
2022-02,0.06876007,0.008690452,0.064159915,0.060928006,0.013180368,0.24899657,0.05281065,0.02609327,0.44973883,0.0066418773,0.07336987,0.12653892,0.08276342,0.060392156,0.15054531,0.24775188,0.039184064,0.12187368,0.024943892,0.072636716
2022-03,0.055560187,0.003349669,0.057573456,0.063609004,0.040056102,0.2847632,0.032539956,0.010677038,0.43915668,0.012714687,0.09098617,0.100907445,0.11201749,0.08233508,0.16810337,0.21274386,0.036242437,0.08286031,0.034758992,0.07904472
2022-04,0.09520603,0.020272795,0.035235878,0.07078316,0.027471911,0.21926221,0.035499483,0.015915124,0.47598583,0.0043675457,0.14150462,0.12418517,0.1156707,0.08432627,0.15629044,0.13272148,0.03802356,0.09070445,0.021712756,0.094860606
2022-05,0.06828864,0.0062054894,0.05566168,0.06269702,0.024597215,0.18418671,0.04959624,0.024610922,0.5058726,0.018283486,0.1546886,0.12771103,0.15232585,0.10073895,0.12055007,0.12761164,0.04451657,0.08390148,0.02334674,0.06460921
2022-06,0.07855166,0.008515221,0.05824994,0.05719683,0.009413423,0.13476051,0.038209725,0.031094238,0.576433,0.007575487,0.14849761,0.10922889,0.14407675,0.09839746,0.16281734,0.08865072,0.04269009,0.08802877,0.044341113,0.07327125
2022-07,0.0406511,0.01902494,0.050217755,0.075258344,0.0043531493,0.20434815,0.023098899,0.028231349,0.5471982,0.0076181027,0.13603413,0.12872796,0.17985575,0.08830092,0.1448654,0.073991634,0.050772723,0.094630525,0.022896405,0.079924434
2022-08,0.00094086665,0.0071154484,0.19548203,0.12235631,0.00054516824,0.233007,0.0030114467,0.0011853722,0.4344838,0.0018725498,0.06899963,0.11927466,0.17774259,0.08089103,0.14094053,0.09500295,0.075449795,0.07596458,0.017388187,0.14834596
2022-09,0.044312224,0.014198631,0.090384364,0.065555096,0.03598512,0.15670936,0.066301875,0.014275823,0.4732195,0.039058,0.13859499,0.12864688,0.1590544,0.12535688,0.12646544,0.09090621,0.04209726,0.07712327,0.030647611,0.081107005
2022-10,0.031839788,0.0114239855,0.0387904,0.110587575,0.009103613,0.17631233,0.04541925,0.045861676,0.51472354,0.015937801,0.10146483,0.08381996,0.1511598,0.16822352,0.12614322,0.10318597,0.035600673,0.08770359,0.018913474,0.12378476
2022-11,0.11399698,0.011949229,0.03451762,0.058865532,0.023257783,0.13538644,0.016192986,0.0074864067,0.5909328,0.0074141733,0.17606385,0.0716298,0.15944044,0.14264673,0.121795855,0.11095092,0.012664596,0.08357749,0.054376703,0.06685357
2022-12,0.08147421,0.0040128743,0.05035648,0.061486352,0.024716284,0.103593305,0.03287665,0.016240356,0.61157525,0.013668111,0.17864436,0.115231015,0.13808134,0.11668083,0.111747526,0.10196996,0.02654863,0.083494626,0.045726653,0.08187513
2023-01,0.0405662,0.007760214,0.08854563,0.106272414,0.011542952,0.18767835,0.028875532,0.020218955,0.47352818,0.03501163,0.120262176,0.09287263,0.16758588,0.12978573,0.12604144,0.10845019,0.013433904,0.12148083,0.016293723,0.10379343
2023-02,0.022880027,0.011063357,0.048732843,0.050021566,0.010977864,0.26585686,0.03733644,0.016166903,0.5230692,0.013895042,0.095183305,0.13227378,0.14413111,0.11758749,0.14576243,0.12830472,0.015752478,0.08824545,0.016683701,0.11607545
2023-03,0.07722178,0.009072445,0.1302584,0.057420116,0.026561271,0.15392254,0.027914101,0.023590267,0.46915463,0.024884408,0.15893805,0.10341032,0.13254617,0.10569074,0.15818399,0.08304852,0.0174524,0.08838135,0.02573936,0.12660897
2023-04,0.058289755,0.0013613318,0.12097149,0.05478623,0.0035823665,0.17083697,0.0153239705,0.055929985,0.51262987,0.0062880595,0.11738142,0.111124784,0.21315053,0.12236729,0.1109625,0.08496532,0.017049532,0.07951532,0.034347318,0.10913588
2023-05,0.13402948,0.009323694,0.10391912,0.09875184,0.01102168,0.15734337,0.043666475,0.018799236,0.41058007,0.012565106,0.18048912,0.0980337,0.15573111,0.11648179,0.12366333,0.0720533,0.017526956,0.106770866,0.0391602,0.09008978
2023-06,0.092039995,0.013514216,0.058105305,0.0749703,0.037353598,0.10483162,0.014564501,0.01383143,0.57602286,0.014766225,0.11410171,0.08843119,0.21968994,0.13532023,0.1400173,0.08897301,0.013552428,0.06882769,0.024213346,0.10687317
2023-07,0.19664669,0.0062623285,0.02757716,0.06200018,0.01507611,0.109577954,0.010458999,0.014234484,0.5371812,0.020984901,0.12936372,0.11775031,0.1541107,0.111758314,0.13503577,0.11354242,0.01585039,0.07691949,0.027761905,0.11790701
2023-08,0.021888487,0.04604441,0.10791841,0.071112014,0.008204966,0.30125338,0.03822198,0.0010874728,0.40318155,0.0010873495,0.1373036,0.06516597,0.19752641,0.14315596,0.1462905,0.06758672,0.0335149,0.060646325,0.013971269,0.13483834
2023-09,0.08275017,0.011852067,0.08423655,0.0924655,0.018353995,0.11579929,0.030456172,0.016562968,0.52934307,0.018180154,0.20744292,0.106234714,0.15978633,0.12543112,0.114931226,0.07189418,0.022566061,0.070661046,0.039279006,0.081773326
2023-10,0.06722501,0.006338383,0.082223594,0.062443364,0.030820165,0.17360958,0.022097489,0.033829205,0.5032794,0.018133804,0.115917295,0.0865213,0.18905106,0.09850105,0.118388936,0.190347,0.019688977,0.074369326,0.018028922,0.08918603
2023-11,0.083588995,0.0054379245,0.08024693,0.046935912,0.03281999,0.15120728,0.039027195,0.015851233,0.53878546,0.0060991347,0.18265645,0.07801011,0.16943245,0.12793113,0.096636906,0.13392358,0.014781566,0.081492245,0.030136723,0.08499884
2023-12,0.08627018,0.004155048,0.06826301,0.06348269,0.012696593,0.07380039,0.04234992,0.01647856,0.61847854,0.014024902,0.14365007,0.06936246,0.17993939,0.09432594,0.14720373,0.14987034,0.013781813,0.08704775,0.032100488,0.08271792
